model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.47225749331259614,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0055; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma2,1200,-3,lars,positive,0.23444262331106003,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:2.0460; blocks.0.hook_resid_post:0.9676; blocks.11.ln1_post.hook_normalized:0.6369; blocks.3.ln1_post.hook_normalized:0.6046; blocks.7.ln1_post.hook_normalized:0.5974; blocks.13.ln2_post.hook_normalized:-0.5934; blocks.1.ln2_post.hook_normalized:-0.5567; blocks.20.ln2_post.hook_normalized:-0.5537; blocks.16.ln1_post.hook_normalized:0.5486; blocks.0.ln2_post.hook_normalized:-0.4525
gemma2,1200,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:8.4401; blocks.11.ln2_post.hook_normalized:0.6831; blocks.3.ln2_post.hook_normalized:-0.4707; blocks.6.ln2_post.hook_normalized:0.4645; blocks.4.ln1_post.hook_normalized:0.4491; blocks.0.hook_resid_post:-0.4047; blocks.4.ln2_post.hook_normalized:0.3861; blocks.15.ln1_post.hook_normalized:0.3656; blocks.7.ln1_post.hook_normalized:0.3448; blocks.0.ln1_post.hook_normalized:0.3367
gemma2,1200,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:11.4441; blocks.0.ln1_post.hook_normalized:1.0891; blocks.0.hook_resid_post:-1.0040; blocks.11.ln2_post.hook_normalized:0.7686; blocks.4.ln1_post.hook_normalized:0.4605; blocks.19.ln2_post.hook_normalized:0.4252; blocks.20.ln1_post.hook_normalized:0.3973; blocks.6.ln2_post.hook_normalized:0.3230; blocks.17.ln1_post.hook_normalized:0.3220; blocks.15.ln2_post.hook_normalized:0.3143
gemma2,137,-1,lars,negative,0.6166403112925061,,blocks.0.ln1_post.hook_normalized:6.0795; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-1,lars,positive,0.5379723242137036,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-2,lars,negative,0.5913113963038271,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-2,lars,positive,0.6103233341109313,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.4709; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-3,lars,negative,0.6464120278329732,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.1011; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-3,lars,positive,0.6405841830717773,,blocks.0.ln1_post.hook_normalized:0.2748; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:0.8786; blocks.9.ln1_post.hook_normalized:-0.7229; blocks.0.ln2_post.hook_normalized:-0.4852; blocks.14.ln2_post.hook_normalized:-0.4521; blocks.19.ln2_post.hook_normalized:0.4388; blocks.13.ln2_post.hook_normalized:-0.4216; blocks.20.ln2_post.hook_normalized:-0.3768; blocks.2.ln1_post.hook_normalized:-0.3604; blocks.7.ln2_post.hook_normalized:0.3315; blocks.10.ln2_post.hook_normalized:-0.3139
gemma2,137,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:7.9320; blocks.11.ln2_post.hook_normalized:0.7149; blocks.0.hook_resid_post:-0.6887; blocks.9.ln1_post.hook_normalized:-0.6218; blocks.0.ln1_post.hook_normalized:0.5688; blocks.7.ln2_post.hook_normalized:0.5028; blocks.4.ln2_post.hook_normalized:0.4814; blocks.19.ln2_post.hook_normalized:0.4594; blocks.6.ln2_post.hook_normalized:0.4225; blocks.1.ln1_post.hook_normalized:-0.4166
gemma2,137,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:12.2220; blocks.0.ln1_post.hook_normalized:1.1922; blocks.20.ln2_post.hook_normalized:0.6882; blocks.9.ln1_post.hook_normalized:-0.6805; blocks.18.ln2_post.hook_normalized:0.5901; blocks.8.ln2_post.hook_normalized:0.5868; blocks.0.hook_resid_post:-0.5832; blocks.19.ln2_post.hook_normalized:0.5779; blocks.7.ln2_post.hook_normalized:0.4795; blocks.17.ln2_post.hook_normalized:0.4721
gemma2,3949,-1,lars,negative,0.5696449296913528,,blocks.0.ln1_post.hook_normalized:3.2427; blocks.11.ln1_post.hook_normalized:0.5325; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.1280; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,3949,-1,lars,positive,0.7307994747105775,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,3949,-2,lars,negative,0.6483824978555499,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,3949,-2,lars,positive,0.35399714913121894,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:1.4097; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,3949,-3,lars,negative,0.6373232094878487,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,3949,-3,lars,positive,0.6949337356755985,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
