model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.47225749331259614,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0055; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma2,709,-3,lars,negative,0.5420753210277031,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,709,-3,lars,positive,0.6436238806167576,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,709,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:1.4474; blocks.20.ln2_post.hook_normalized:-0.6803; blocks.0.ln2_post.hook_normalized:-0.6190; blocks.7.ln1_post.hook_normalized:0.5928; blocks.16.ln1_post.hook_normalized:0.5708; blocks.5.ln2_post.hook_normalized:0.4369; blocks.9.ln1_post.hook_normalized:-0.4202; blocks.17.ln1_post.hook_normalized:-0.4160; blocks.19.ln2_post.hook_normalized:0.4134; blocks.1.ln2_post.hook_normalized:-0.4112
gemma2,709,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:7.2664; blocks.0.hook_resid_post:-1.9727; blocks.8.ln2_post.hook_normalized:0.7865; blocks.11.ln2_post.hook_normalized:0.7026; blocks.0.ln1_post.hook_normalized:0.5928; blocks.10.ln1_post.hook_normalized:-0.5877; blocks.9.ln1_post.hook_normalized:-0.5722; blocks.4.ln1_post.hook_normalized:0.5363; blocks.13.ln1_post.hook_normalized:-0.4658; blocks.3.ln2_post.hook_normalized:-0.4590
gemma2,709,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:8.7719; blocks.0.hook_resid_post:-1.3415; blocks.0.ln1_post.hook_normalized:1.1663; blocks.8.ln2_post.hook_normalized:0.7908; blocks.11.ln2_post.hook_normalized:0.7027; blocks.9.ln1_post.hook_normalized:-0.5810; blocks.20.ln2_post.hook_normalized:0.5545; blocks.19.ln2_post.hook_normalized:0.5515; blocks.7.ln2_post.hook_normalized:0.4949; blocks.4.ln1_post.hook_normalized:0.4928
gemma2,7988,-1,lars,negative,0.5872116682736395,,blocks.0.ln1_post.hook_normalized:4.2336; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.1094; blocks.14.ln1_post.hook_normalized:1.1772; blocks.14.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000
gemma2,7988,-1,lars,positive,0.6356371436447594,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,7988,-2,lars,negative,0.53091825424132,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,7988,-2,lars,positive,0.12395163470362025,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,7988,-3,lars,negative,0.4814907701527118,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.2305
gemma2,7988,-3,lars,positive,0.34685374582431916,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.2237; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,7988,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:2.9106; blocks.0.hook_resid_post:1.9596; blocks.16.ln1_post.hook_normalized:0.6872; blocks.19.ln2_post.hook_normalized:0.5776; blocks.20.ln2_post.hook_normalized:-0.5426; blocks.17.ln2_post.hook_normalized:-0.5215; blocks.0.ln2_post.hook_normalized:-0.5001; blocks.1.ln2_post.hook_normalized:-0.4910; blocks.1.ln1_post.hook_normalized:0.4344; blocks.4.ln2_post.hook_normalized:-0.3764
gemma2,7988,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:11.5477; blocks.10.ln2_post.hook_normalized:-0.8567; blocks.15.ln2_post.hook_normalized:0.6681; blocks.13.ln2_post.hook_normalized:0.6239; blocks.8.ln2_post.hook_normalized:0.6050; blocks.19.ln2_post.hook_normalized:0.6047; blocks.0.ln1_post.hook_normalized:0.5886; blocks.4.ln1_post.hook_normalized:0.5479; blocks.0.hook_resid_post:-0.4886; blocks.11.ln2_post.hook_normalized:0.4795
gemma2,7988,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:13.9575; blocks.0.ln1_post.hook_normalized:0.9702; blocks.4.ln1_post.hook_normalized:0.6505; blocks.20.ln2_post.hook_normalized:0.5928; blocks.15.ln2_post.hook_normalized:0.5660; blocks.19.ln2_post.hook_normalized:0.5486; blocks.18.ln2_post.hook_normalized:0.5251; blocks.10.ln2_post.hook_normalized:-0.4612; blocks.5.ln2_post.hook_normalized:0.3487; blocks.8.ln2_post.hook_normalized:0.3486
gemma2,8015,-1,lars,negative,0.5580480265384516,,blocks.0.ln1_post.hook_normalized:3.5789; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.1813; blocks.14.ln1_post.hook_normalized:2.4401; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,8015,-1,lars,positive,0.5691491327275346,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,8015,-2,lars,negative,0.518536568284075,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,8015,-2,lars,positive,0.3014751205799927,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.4905; blocks.14.ln2_post.hook_normalized:1.2429; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,8015,-3,lars,negative,0.5698994841050413,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.1657
gemma2,8015,-3,lars,positive,0.7823738348572397,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,8015,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:1.4634; blocks.19.ln2_post.hook_normalized:0.5908; blocks.9.ln1_post.hook_normalized:-0.5175; blocks.20.ln2_post.hook_normalized:-0.4602; blocks.8.ln1_post.hook_normalized:-0.4385; blocks.1.ln2_post.hook_normalized:-0.4169; blocks.18.ln2_post.hook_normalized:-0.3927; blocks.13.ln1_post.hook_normalized:-0.3687; blocks.0.ln2_post.hook_normalized:-0.3525; blocks.4.ln1_post.hook_normalized:0.3186
gemma2,8015,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:4.4657; blocks.0.hook_resid_post:-1.6035; blocks.0.ln1_post.hook_normalized:0.7792; blocks.10.ln2_post.hook_normalized:-0.6936; blocks.9.ln1_post.hook_normalized:-0.5236; blocks.6.ln2_post.hook_normalized:0.5166; blocks.11.ln2_post.hook_normalized:0.5022; blocks.7.ln1_post.hook_normalized:-0.4844; blocks.8.ln2_post.hook_normalized:0.4771; blocks.13.ln1_post.hook_normalized:-0.4247
gemma2,8015,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:9.5088; blocks.0.ln1_post.hook_normalized:0.8148; blocks.19.ln2_post.hook_normalized:0.6841; blocks.6.ln2_post.hook_normalized:0.5763; blocks.18.ln2_post.hook_normalized:0.5517; blocks.17.ln2_post.hook_normalized:0.5151; blocks.7.ln2_post.hook_normalized:0.5017; blocks.20.ln2_post.hook_normalized:0.4741; blocks.15.ln2_post.hook_normalized:0.4364; blocks.8.ln1_post.hook_normalized:-0.4209
