model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,4287,-1,lars,negative,0.6936666310073146,,20.mlp;18.mlp;10.attention;15.attention;13.mlp;16.mlp;6.mlp;17.mlp;15.mlp;17.attention;19.mlp;10.mlp;20.attention;4.mlp;19.attention;13.attention;9.mlp;1.mlp;6.attention;12.attention;3.mlp;14.mlp;14.attention;16.attention;2.attention;11.attention;0.residual;5.attention;12.mlp;9.attention;11.mlp;4.attention;18.attention;5.mlp;1.attention;0.mlp;8.attention;7.attention;7.mlp;3.attention;8.mlp;2.mlp;0.attention
gemma2,4287,-1,lars,positive,0.4904376093067658,,18.mlp;19.mlp;15.mlp;15.attention;16.attention;16.mlp;20.mlp;13.attention;3.attention;17.mlp;10.attention;10.mlp;13.mlp;4.mlp;5.mlp;9.attention;11.mlp;0.residual;2.attention;20.attention;5.attention;11.attention;7.mlp;17.attention;8.mlp;19.attention;6.mlp;14.attention;7.attention;1.attention;3.mlp;2.mlp;14.mlp;6.attention;12.mlp;8.attention;9.mlp;0.mlp;18.attention;0.attention;4.attention;1.mlp;12.attention
gemma2,4287,-2,lars,negative,0.4803792938986622,,19.mlp;18.attention;14.attention;13.attention;12.mlp;10.attention;18.mlp;8.attention;17.mlp;17.attention;0.attention;6.mlp;19.attention;3.mlp;6.attention;8.mlp;10.mlp;0.residual;11.attention;15.mlp;20.attention;20.mlp;5.attention;4.attention;5.mlp;1.mlp;9.attention;12.attention;3.attention;14.mlp;2.attention;1.attention;11.mlp;9.mlp;16.attention;7.attention;0.mlp;13.mlp;16.mlp;4.mlp;7.mlp;2.mlp;15.attention
gemma2,4287,-2,lars,positive,0.5840864289806224,,13.attention;19.mlp;15.attention;20.mlp;0.residual;10.attention;16.attention;3.attention;18.mlp;15.mlp;17.attention;20.attention;6.mlp;13.mlp;3.mlp;5.attention;19.attention;4.attention;16.mlp;8.mlp;4.mlp;11.attention;12.mlp;17.mlp;5.mlp;7.mlp;10.mlp;1.attention;12.attention;14.mlp;9.mlp;2.attention;0.attention;11.mlp;7.attention;9.attention;0.mlp;6.attention;14.attention;18.attention;1.mlp;8.attention;2.mlp
gemma2,4287,-3,lars,negative,0.6377604081874609,,13.attention;19.mlp;18.mlp;17.attention;20.mlp;10.attention;0.residual;16.mlp;6.mlp;17.mlp;6.attention;13.mlp;16.attention;8.attention;19.attention;15.mlp;9.mlp;15.attention;10.mlp;11.mlp;2.mlp;8.mlp;18.attention;12.mlp;5.mlp;3.attention;3.mlp;14.mlp;12.attention;7.mlp;0.mlp;7.attention;5.attention;1.mlp;4.mlp;9.attention;4.attention;20.attention;0.attention;11.attention;14.attention;1.attention;2.attention
gemma2,4287,-3,lars,positive,0.4286110162418042,,15.attention;10.attention;20.mlp;19.mlp;0.residual;16.mlp;17.attention;13.mlp;17.mlp;7.attention;13.attention;14.mlp;15.mlp;1.mlp;6.mlp;8.mlp;18.mlp;4.mlp;5.attention;16.attention;5.mlp;11.mlp;4.attention;20.attention;1.attention;10.mlp;19.attention;11.attention;2.mlp;18.attention;9.mlp;8.attention;9.attention;7.mlp;3.mlp;12.mlp;0.attention;12.attention;14.attention;0.mlp;3.attention;6.attention;2.attention
gemma2,5548,-1,lars,negative,0.3532957320972101,,18.mlp;3.attention;20.mlp;17.attention;7.mlp;17.mlp;15.mlp;6.mlp;12.attention;8.mlp;10.attention;7.attention;0.attention;16.attention;20.attention;13.mlp;10.mlp;11.attention;19.mlp;11.mlp;14.mlp;2.mlp;12.mlp;6.attention;19.attention;13.attention;1.mlp;0.mlp;4.attention;14.attention;16.mlp;4.mlp;5.attention;18.attention;1.attention;9.attention;3.mlp;8.attention;15.attention;2.attention;0.residual;5.mlp;9.mlp
gemma2,5548,-1,lars,positive,0.2875624175512381,,20.mlp;16.mlp;7.attention;13.mlp;18.mlp;15.attention;15.mlp;7.mlp;16.attention;2.attention;13.attention;19.mlp;11.mlp;14.mlp;6.mlp;9.mlp;12.mlp;17.mlp;10.attention;8.mlp;10.mlp;14.attention;8.attention;19.attention;5.mlp;17.attention;4.attention;11.attention;3.attention;1.attention;5.attention;0.residual;3.mlp;0.mlp;9.attention;4.mlp;12.attention;20.attention;18.attention;2.mlp;1.mlp;0.attention;6.attention
gemma2,5548,-2,lars,negative,0.6107554617180945,,18.mlp;19.mlp;13.attention;20.attention;18.attention;20.mlp;9.mlp;17.attention;6.mlp;3.attention;14.mlp;7.mlp;15.mlp;15.attention;5.attention;10.attention;16.mlp;0.residual;17.mlp;8.attention;10.mlp;8.mlp;11.mlp;19.attention;12.attention;13.mlp;11.attention;12.mlp;4.attention;1.attention;6.attention;5.mlp;16.attention;14.attention;1.mlp;2.attention;9.attention;2.mlp;7.attention;0.mlp;0.attention;4.mlp;3.mlp
gemma2,5548,-2,lars,positive,0.4249977294849462,,13.attention;17.attention;10.attention;15.attention;18.mlp;16.attention;20.attention;5.mlp;6.mlp;19.mlp;15.mlp;12.attention;19.attention;13.mlp;8.mlp;2.mlp;16.mlp;14.mlp;0.residual;2.attention;12.mlp;8.attention;9.mlp;10.mlp;7.mlp;1.mlp;17.mlp;14.attention;0.attention;11.mlp;3.mlp;3.attention;18.attention;7.attention;11.attention;5.attention;1.attention;6.attention;0.mlp;20.mlp;4.attention;9.attention;4.mlp
gemma2,5548,-3,lars,negative,0.6688348955333154,,19.mlp;18.mlp;13.attention;20.mlp;15.attention;14.mlp;17.attention;9.mlp;10.attention;0.residual;15.mlp;16.attention;3.attention;16.mlp;17.mlp;19.attention;11.attention;13.mlp;18.attention;5.mlp;7.attention;1.mlp;4.attention;10.mlp;2.mlp;6.attention;1.attention;5.attention;8.mlp;20.attention;3.mlp;12.attention;8.attention;7.mlp;2.attention;4.mlp;6.mlp;0.attention;0.mlp;11.mlp;9.attention;12.mlp;14.attention
gemma2,5548,-3,lars,positive,0.5696217980513272,,17.attention;18.mlp;14.mlp;13.attention;19.mlp;10.attention;20.mlp;3.attention;15.attention;19.attention;16.mlp;20.attention;10.mlp;13.mlp;1.attention;16.attention;7.attention;9.mlp;17.mlp;5.mlp;12.mlp;11.mlp;15.mlp;9.attention;4.attention;6.mlp;8.mlp;0.residual;7.mlp;2.mlp;0.attention;11.attention;4.mlp;0.mlp;12.attention;6.attention;1.mlp;18.attention;2.attention;8.attention;14.attention;3.mlp;5.attention
gemma2,6832,-1,lars,negative,0.634376776721133,,18.mlp;0.attention;0.mlp;19.mlp;3.attention;10.mlp;20.attention;20.mlp;6.mlp;2.mlp;9.mlp;7.mlp;16.mlp;17.mlp;6.attention;11.attention;11.mlp;8.attention;4.mlp;14.mlp;13.attention;3.mlp;4.attention;16.attention;5.mlp;19.attention;1.mlp;10.attention;2.attention;0.residual;12.mlp;15.attention;9.attention;5.attention;15.mlp;12.attention;14.attention;18.attention;7.attention;17.attention;1.attention;8.mlp;13.mlp
gemma2,6832,-1,lars,positive,0.652994117793166,,18.mlp;20.mlp;19.mlp;15.mlp;9.mlp;0.attention;13.attention;7.mlp;12.mlp;10.mlp;13.mlp;17.mlp;7.attention;10.attention;11.mlp;5.mlp;16.mlp;5.attention;1.attention;2.mlp;14.mlp;4.mlp;17.attention;11.attention;18.attention;8.mlp;6.attention;14.attention;12.attention;2.attention;3.mlp;8.attention;19.attention;0.residual;0.mlp;4.attention;1.mlp;6.mlp;3.attention;16.attention;15.attention;20.attention;9.attention
gemma2,6832,-2,lars,negative,0.4542348595883243,,19.mlp;8.mlp;18.mlp;14.mlp;20.attention;20.mlp;15.mlp;13.attention;5.attention;5.mlp;9.mlp;15.attention;19.attention;17.mlp;17.attention;3.attention;12.mlp;10.attention;6.mlp;11.mlp;13.mlp;0.attention;0.residual;3.mlp;4.attention;16.attention;10.mlp;12.attention;7.mlp;18.attention;11.attention;2.attention;14.attention;2.mlp;8.attention;4.mlp;0.mlp;16.mlp;1.attention;7.attention;6.attention;1.mlp;9.attention
gemma2,6832,-2,lars,positive,0.2648050784125737,,3.mlp;19.attention;19.mlp;15.attention;20.mlp;15.mlp;9.mlp;7.mlp;0.attention;13.mlp;0.mlp;17.attention;20.attention;8.mlp;13.attention;16.mlp;14.mlp;10.mlp;0.residual;11.mlp;18.mlp;3.attention;4.mlp;14.attention;12.mlp;1.attention;17.mlp;2.attention;6.mlp;8.attention;5.attention;5.mlp;7.attention;16.attention;18.attention;4.attention;9.attention;1.mlp;12.attention;11.attention;6.attention;2.mlp;10.attention
gemma2,6832,-3,lars,negative,0.6336075513066944,,18.mlp;19.mlp;20.mlp;17.attention;14.mlp;3.attention;15.attention;9.mlp;12.attention;13.attention;4.attention;18.attention;15.mlp;6.attention;8.mlp;1.attention;10.attention;16.mlp;7.mlp;1.mlp;20.attention;11.mlp;14.attention;7.attention;12.mlp;4.mlp;0.residual;11.attention;13.mlp;9.attention;0.mlp;2.mlp;3.mlp;10.mlp;2.attention;8.attention;17.mlp;6.mlp;5.mlp;5.attention;16.attention;0.attention;19.attention
gemma2,6832,-3,lars,positive,-0.9971295185070732,,3.mlp;10.mlp;13.mlp;16.mlp;19.attention;4.mlp;15.mlp;15.attention;17.mlp;4.attention;5.mlp;14.attention;12.mlp;2.mlp;2.attention;9.mlp;0.residual;19.mlp;1.attention;11.mlp;1.mlp;6.mlp;18.mlp;7.mlp;0.attention;8.mlp;12.attention;8.attention;11.attention;0.mlp;6.attention;13.attention;20.mlp;18.attention;7.attention;14.mlp;17.attention;20.attention;5.attention;9.attention;10.attention;16.attention;3.attention
gemma2,695,-1,lars,negative,0.7226252679303733,,18.mlp;0.attention;17.mlp;6.mlp;19.mlp;16.mlp;3.attention;20.attention;8.mlp;9.mlp;14.mlp;2.attention;17.attention;11.mlp;3.mlp;1.mlp;20.mlp;6.attention;19.attention;15.mlp;11.attention;15.attention;13.mlp;4.attention;10.mlp;0.residual;12.mlp;7.mlp;13.attention;10.attention;14.attention;12.attention;5.mlp;8.attention;9.attention;2.mlp;7.attention;0.mlp;5.attention;1.attention;16.attention;4.mlp;18.attention
gemma2,695,-1,lars,positive,0.6323070358910697,,18.mlp;20.mlp;15.mlp;20.attention;19.mlp;14.mlp;13.attention;16.attention;17.mlp;15.attention;7.mlp;16.mlp;13.mlp;6.mlp;12.mlp;8.mlp;4.attention;0.attention;11.mlp;5.attention;19.attention;17.attention;2.mlp;5.mlp;10.mlp;2.attention;7.attention;11.attention;9.mlp;10.attention;18.attention;8.attention;4.mlp;14.attention;3.attention;0.residual;3.mlp;6.attention;12.attention;9.attention;1.mlp;0.mlp;1.attention
gemma2,695,-2,lars,negative,0.4886862856900278,,18.mlp;19.mlp;20.mlp;6.mlp;20.attention;1.attention;17.attention;14.mlp;8.mlp;15.mlp;15.attention;13.attention;6.attention;19.attention;16.mlp;0.residual;9.mlp;5.mlp;10.mlp;17.mlp;10.attention;11.attention;2.mlp;13.mlp;7.mlp;4.mlp;3.attention;12.attention;18.attention;0.attention;12.mlp;11.mlp;16.attention;9.attention;7.attention;1.mlp;3.mlp;5.attention;8.attention;4.attention;14.attention;2.attention;0.mlp
gemma2,695,-2,lars,positive,0.6612568181286951,,18.mlp;13.attention;20.mlp;20.attention;19.mlp;15.attention;10.mlp;5.mlp;3.mlp;8.mlp;19.attention;1.attention;0.residual;16.mlp;0.mlp;15.mlp;6.mlp;10.attention;14.mlp;7.attention;11.mlp;3.attention;13.mlp;9.mlp;17.mlp;7.mlp;12.mlp;0.attention;14.attention;16.attention;1.mlp;5.attention;18.attention;2.mlp;4.attention;6.attention;4.mlp;17.attention;8.attention;12.attention;2.attention;11.attention;9.attention
gemma2,695,-3,lars,negative,0.5761145341853648,,18.mlp;19.mlp;15.attention;17.attention;20.mlp;1.attention;15.mlp;9.mlp;14.mlp;13.attention;6.mlp;5.mlp;8.mlp;16.mlp;4.attention;10.mlp;12.mlp;0.attention;7.mlp;19.attention;17.mlp;6.attention;11.mlp;16.attention;7.attention;14.attention;20.attention;5.attention;2.attention;0.residual;12.attention;4.mlp;9.attention;0.mlp;18.attention;13.mlp;1.mlp;8.attention;2.mlp;10.attention;3.mlp;11.attention;3.attention
