model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,6832,-3,lars,negative,0.6336075513066945,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,6832,-3,lars,positive,-0.9971295185070748,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-1,lars,negative,0.7226252679303733,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-1,lars,positive,0.6323070358910697,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-2,lars,negative,0.4886862856900278,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-2,lars,positive,0.6612568181286951,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-3,lars,negative,0.5761145341853648,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,695,-3,lars,positive,0.4511020568925973,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-1,lars,negative,0.6988760762636613,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-1,lars,positive,0.6127267600653235,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-2,lars,negative,0.558790432294777,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-2,lars,positive,0.1906607325477969,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-3,lars,negative,0.5420753210277031,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,709,-3,lars,positive,0.6436238806167576,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,7988,-1,lars,negative,0.5872116682736395,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 15.attention
