model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-2,lars,positive,-0.2214845166846075,,6.attention;20.mlp;3.mlp;0.residual;0.attention;8.mlp;18.mlp;15.mlp;19.mlp;17.attention;2.attention;9.mlp;14.mlp;13.attention;15.attention;7.attention;13.mlp;19.attention;16.attention;5.attention;1.attention;6.mlp;4.attention;12.mlp;20.attention;10.mlp;17.mlp;2.mlp;11.attention;7.mlp;1.mlp;5.mlp;8.attention;18.attention;0.mlp;4.mlp;11.mlp;10.attention;12.attention;14.attention;3.attention;9.attention;16.mlp
gemma2,1161,-3,lars,negative,0.6635706058607906,,6.attention;20.mlp;0.residual;18.mlp;17.attention;0.attention;3.mlp;6.mlp;19.mlp;17.mlp;14.mlp;20.attention;15.attention;10.mlp;13.attention;8.mlp;15.mlp;5.mlp;1.attention;9.mlp;11.mlp;7.mlp;16.attention;16.mlp;7.attention;19.attention;11.attention;13.mlp;12.mlp;10.attention;12.attention;4.mlp;4.attention;2.mlp;5.attention;0.mlp;14.attention;2.attention;18.attention;1.mlp;8.attention;9.attention;3.attention
gemma2,1161,-3,lars,positive,0.6920838744767996,,6.attention;20.mlp;0.residual;3.mlp;18.mlp;11.mlp;0.attention;6.mlp;17.attention;19.attention;19.mlp;14.mlp;8.mlp;7.mlp;15.attention;5.mlp;10.attention;16.mlp;20.attention;1.mlp;10.mlp;13.attention;7.attention;5.attention;1.attention;12.mlp;0.mlp;14.attention;15.mlp;4.mlp;18.attention;13.mlp;11.attention;17.mlp;3.attention;2.attention;9.mlp;12.attention;4.attention;8.attention;16.attention;2.mlp;9.attention
gemma2,8015,-1,lars,negative,0.4613586326929286,,20.mlp;3.mlp;17.attention;0.attention;6.attention;15.mlp;18.mlp;14.mlp;8.mlp;9.mlp;11.mlp;16.mlp;19.mlp;0.residual;13.attention;7.attention;17.mlp;11.attention;6.mlp;3.attention;12.mlp;7.mlp;13.mlp;10.mlp;20.attention;19.attention;15.attention;5.mlp;4.attention;5.attention;10.attention;1.attention;9.attention;16.attention;12.attention;8.attention;2.mlp;14.attention;18.attention;1.mlp;4.mlp;0.mlp;2.attention
gemma2,8015,-1,lars,positive,0.5353885440304793,,0.residual;20.mlp;3.mlp;9.mlp;19.mlp;17.mlp;16.mlp;6.attention;4.mlp;7.attention;1.mlp;5.attention;0.attention;15.attention;1.attention;10.mlp;2.mlp;5.mlp;10.attention;12.mlp;18.attention;18.mlp;14.mlp;17.attention;13.attention;7.mlp;8.attention;15.mlp;6.mlp;11.mlp;13.mlp;9.attention;2.attention;3.attention;11.attention;0.mlp;16.attention;12.attention;4.attention;20.attention;14.attention;19.attention;8.mlp
gemma2,8015,-2,lars,negative,0.4210103203412383,,20.mlp;3.mlp;0.residual;17.attention;13.attention;6.attention;18.mlp;19.mlp;14.mlp;6.mlp;8.mlp;16.mlp;11.mlp;15.mlp;9.mlp;15.attention;17.mlp;7.mlp;13.mlp;12.mlp;5.mlp;3.attention;10.mlp;20.attention;0.attention;10.attention;11.attention;1.attention;19.attention;5.attention;7.attention;4.attention;1.mlp;4.mlp;2.attention;2.mlp;14.attention;18.attention;0.mlp;8.attention;16.attention;9.attention;12.attention
gemma2,8015,-2,lars,positive,0.1978591957810233,,20.mlp;3.mlp;17.attention;19.mlp;6.mlp;0.residual;18.mlp;13.attention;6.attention;12.mlp;13.mlp;4.mlp;8.mlp;14.mlp;15.attention;7.attention;17.mlp;19.attention;10.attention;3.attention;5.mlp;0.attention;1.attention;4.attention;2.mlp;9.mlp;2.attention;0.mlp;12.attention;18.attention;7.mlp;14.attention;11.mlp;11.attention;10.mlp;1.mlp;5.attention;15.mlp;16.attention;8.attention;16.mlp;20.attention;9.attention
gemma2,8015,-3,lars,negative,0.5752110071789804,,3.mlp;0.residual;20.mlp;17.attention;18.mlp;13.attention;16.mlp;14.mlp;19.mlp;6.attention;11.mlp;9.mlp;5.mlp;6.mlp;15.mlp;15.attention;13.mlp;10.attention;17.mlp;10.mlp;7.attention;3.attention;8.mlp;7.mlp;1.attention;19.attention;5.attention;0.attention;12.mlp;20.attention;11.attention;12.attention;9.attention;14.attention;4.attention;1.mlp;4.mlp;2.attention;8.attention;2.mlp;0.mlp;16.attention;18.attention
gemma2,8015,-3,lars,positive,0.8127172160665224,,0.residual;20.mlp;3.mlp;17.attention;18.mlp;9.mlp;14.mlp;13.attention;19.mlp;16.mlp;11.mlp;10.mlp;5.attention;0.attention;15.attention;3.attention;17.mlp;6.mlp;7.mlp;7.attention;9.attention;2.mlp;1.attention;0.mlp;14.attention;11.attention;10.attention;5.mlp;4.attention;12.attention;4.mlp;15.mlp;19.attention;12.mlp;1.mlp;13.mlp;18.attention;16.attention;20.attention;2.attention;6.attention;8.attention;8.mlp
gemma2,5548,-1,lars,negative,0.4862784441067642,,0.residual;20.mlp;17.attention;3.mlp;0.attention;13.attention;18.mlp;7.attention;6.mlp;19.mlp;17.mlp;14.mlp;16.mlp;8.mlp;1.attention;9.mlp;6.attention;11.mlp;5.mlp;3.attention;0.mlp;11.attention;18.attention;1.mlp;4.mlp;19.attention;12.attention;20.attention;16.attention;10.mlp;14.attention;7.mlp;5.attention;4.attention;8.attention;2.mlp;15.attention;12.mlp;2.attention;13.mlp;9.attention;10.attention;15.mlp
gemma2,5548,-1,lars,positive,0.1638835625725645,,0.residual;20.mlp;13.attention;11.attention;17.attention;7.attention;16.attention;16.mlp;9.mlp;14.mlp;3.mlp;13.mlp;15.mlp;1.attention;19.mlp;7.mlp;15.attention;11.mlp;5.mlp;17.mlp;10.attention;4.mlp;10.mlp;4.attention;5.attention;0.attention;1.mlp;8.attention;12.mlp;9.attention;3.attention;18.mlp;8.mlp;6.mlp;6.attention;18.attention;0.mlp;19.attention;14.attention;2.attention;20.attention;2.mlp;12.attention
gemma2,5548,-2,lars,negative,0.5724732631724508,,0.residual;17.attention;20.mlp;3.mlp;13.attention;18.mlp;19.mlp;14.mlp;15.mlp;6.mlp;10.mlp;16.mlp;11.mlp;15.attention;17.mlp;20.attention;16.attention;0.attention;7.mlp;11.attention;19.attention;9.mlp;8.mlp;13.mlp;1.attention;10.attention;4.attention;7.attention;5.mlp;5.attention;12.mlp;6.attention;1.mlp;3.attention;2.attention;2.mlp;8.attention;4.mlp;14.attention;12.attention;0.mlp;18.attention;9.attention
gemma2,5548,-2,lars,positive,0.5128944262961205,,17.attention;0.residual;13.attention;8.mlp;6.mlp;18.mlp;5.mlp;11.attention;0.mlp;2.mlp;7.mlp;20.mlp;1.attention;13.mlp;0.attention;15.attention;14.mlp;1.mlp;19.attention;7.attention;4.attention;12.attention;15.mlp;10.mlp;11.mlp;9.mlp;19.mlp;10.attention;17.mlp;2.attention;6.attention;12.mlp;9.attention;4.mlp;20.attention;16.attention;5.attention;3.attention;18.attention;16.mlp;8.attention;14.attention;3.mlp
gemma2,5548,-3,lars,negative,0.6301363144555916,,0.residual;17.attention;20.mlp;3.mlp;18.mlp;13.attention;19.mlp;14.mlp;10.mlp;16.mlp;6.mlp;10.attention;17.mlp;5.mlp;15.attention;11.mlp;15.mlp;1.attention;0.attention;9.mlp;13.mlp;8.mlp;16.attention;19.attention;11.attention;7.attention;7.mlp;12.mlp;6.attention;1.mlp;20.attention;3.attention;4.mlp;12.attention;14.attention;8.attention;4.attention;2.attention;9.attention;2.mlp;5.attention;0.mlp;18.attention
gemma2,5548,-3,lars,positive,0.7603934997340291,,0.residual;17.attention;20.mlp;13.attention;18.mlp;14.mlp;15.attention;10.mlp;10.attention;1.attention;0.attention;19.attention;19.mlp;5.mlp;8.mlp;16.mlp;20.attention;0.mlp;9.mlp;1.mlp;11.mlp;13.mlp;11.attention;7.attention;17.mlp;6.mlp;12.mlp;7.mlp;15.mlp;4.attention;9.attention;16.attention;6.attention;3.mlp;12.attention;2.mlp;2.attention;8.attention;4.mlp;18.attention;3.attention;5.attention;14.attention
gemma2,6832,-1,lars,negative,0.6623873677874283,,3.mlp;20.mlp;6.attention;18.mlp;0.attention;14.mlp;19.mlp;11.mlp;8.mlp;6.mlp;12.mlp;13.attention;17.mlp;13.mlp;16.mlp;15.mlp;9.mlp;7.attention;7.mlp;0.residual;17.attention;5.mlp;20.attention;10.mlp;3.attention;16.attention;15.attention;11.attention;4.attention;19.attention;1.attention;5.attention;2.attention;8.attention;12.attention;0.mlp;2.mlp;10.attention;4.mlp;14.attention;1.mlp;9.attention;18.attention
gemma2,6832,-1,lars,positive,0.6097336682642507,,3.mlp;20.mlp;6.attention;18.mlp;9.mlp;19.mlp;12.mlp;0.attention;11.mlp;7.attention;13.attention;15.mlp;0.residual;16.mlp;17.mlp;17.attention;5.attention;10.mlp;10.attention;13.mlp;11.attention;7.mlp;5.mlp;16.attention;8.mlp;1.mlp;2.attention;4.mlp;1.attention;14.mlp;20.attention;12.attention;18.attention;2.mlp;6.mlp;3.attention;15.attention;19.attention;0.mlp;9.attention;8.attention;4.attention;14.attention
gemma2,6832,-2,lars,negative,0.261235116219995,,3.mlp;6.attention;20.mlp;18.mlp;17.attention;8.mlp;19.mlp;6.mlp;14.mlp;15.mlp;13.attention;12.mlp;0.attention;11.mlp;0.residual;17.mlp;7.mlp;15.attention;9.mlp;16.mlp;10.mlp;13.mlp;5.mlp;1.attention;7.attention;5.attention;20.attention;10.attention;4.attention;19.attention;11.attention;16.attention;2.mlp;4.mlp;2.attention;12.attention;8.attention;3.attention;14.attention;0.mlp;1.mlp;9.attention;18.attention
gemma2,6832,-2,lars,positive,0.2659520531561984,,6.attention;3.mlp;20.mlp;0.attention;9.mlp;15.attention;8.mlp;17.attention;0.mlp;16.mlp;13.mlp;7.mlp;0.residual;6.mlp;19.mlp;15.mlp;13.attention;19.attention;14.mlp;7.attention;11.mlp;5.attention;3.attention;2.mlp;4.mlp;10.mlp;2.attention;18.mlp;12.attention;4.attention;5.mlp;17.mlp;1.attention;8.attention;12.mlp;16.attention;20.attention;11.attention;14.attention;9.attention;18.attention;1.mlp;10.attention
gemma2,6832,-3,lars,negative,0.5795356644639489,,3.mlp;6.attention;20.mlp;0.residual;18.mlp;17.attention;19.mlp;0.attention;14.mlp;6.mlp;13.attention;11.mlp;16.mlp;8.mlp;15.mlp;5.mlp;9.mlp;15.attention;1.attention;13.mlp;10.mlp;7.mlp;10.attention;17.mlp;12.mlp;4.attention;20.attention;7.attention;5.attention;19.attention;3.attention;4.mlp;14.attention;2.attention;11.attention;0.mlp;1.mlp;18.attention;8.attention;2.mlp;12.attention;16.attention;9.attention
gemma2,6832,-3,lars,positive,-2.3220409906398816,,0.residual;6.attention;16.mlp;11.mlp;10.mlp;13.mlp;9.mlp;15.attention;17.mlp;15.mlp;0.attention;5.mlp;1.mlp;4.mlp;2.attention;2.mlp;19.mlp;4.attention;1.attention;6.mlp;20.mlp;14.mlp;7.mlp;18.mlp;12.attention;8.mlp;14.attention;7.attention;3.mlp;5.attention;12.mlp;19.attention;18.attention;0.mlp;11.attention;9.attention;16.attention;13.attention;20.attention;10.attention;17.attention;3.attention;8.attention
gemma2,4086,-1,lars,negative,0.6118208829427666,,20.mlp;6.attention;0.attention;18.mlp;11.attention;7.attention;8.mlp;12.mlp;13.attention;6.mlp;19.mlp;14.mlp;17.mlp;11.mlp;16.mlp;9.mlp;16.attention;20.attention;0.residual;7.mlp;13.mlp;3.attention;4.attention;2.mlp;10.mlp;3.mlp;15.attention;5.mlp;5.attention;15.mlp;1.attention;8.attention;19.attention;17.attention;18.attention;1.mlp;10.attention;12.attention;14.attention;4.mlp;0.mlp;2.attention;9.attention
gemma2,4086,-1,lars,positive,0.316314708032784,,20.mlp;0.residual;6.attention;11.attention;7.attention;16.mlp;13.attention;9.mlp;20.attention;1.mlp;17.mlp;6.mlp;4.mlp;5.mlp;16.attention;17.attention;0.mlp;10.attention;15.mlp;12.mlp;19.mlp;18.attention;8.attention;10.mlp;9.attention;8.mlp;19.attention;4.attention;2.attention;0.attention;3.attention;11.mlp;13.mlp;15.attention;14.attention;12.attention;18.mlp;7.mlp;3.mlp;5.attention;2.mlp;1.attention;14.mlp
