model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1200,-3,lars,positive,0.23444262331106003,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.7745; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1200,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:2.0460; blocks.0.hook_resid_post:0.9676; blocks.11.ln1_post.hook_normalized:0.6369; blocks.3.ln1_post.hook_normalized:0.6046; blocks.7.ln1_post.hook_normalized:0.5974; blocks.13.ln2_post.hook_normalized:-0.5934; blocks.1.ln2_post.hook_normalized:-0.5567; blocks.20.ln2_post.hook_normalized:-0.5537; blocks.16.ln1_post.hook_normalized:0.5486; blocks.0.ln2_post.hook_normalized:-0.4525
gemma2,1200,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:8.4401; blocks.11.ln2_post.hook_normalized:0.6831; blocks.3.ln2_post.hook_normalized:-0.4707; blocks.6.ln2_post.hook_normalized:0.4645; blocks.4.ln1_post.hook_normalized:0.4491; blocks.0.hook_resid_post:-0.4047; blocks.4.ln2_post.hook_normalized:0.3861; blocks.15.ln1_post.hook_normalized:0.3656; blocks.7.ln1_post.hook_normalized:0.3448; blocks.0.ln1_post.hook_normalized:0.3367
gemma2,1200,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:11.4441; blocks.0.ln1_post.hook_normalized:1.0891; blocks.0.hook_resid_post:-1.0040; blocks.11.ln2_post.hook_normalized:0.7686; blocks.4.ln1_post.hook_normalized:0.4605; blocks.19.ln2_post.hook_normalized:0.4252; blocks.20.ln1_post.hook_normalized:0.3973; blocks.6.ln2_post.hook_normalized:0.3230; blocks.17.ln1_post.hook_normalized:0.3220; blocks.15.ln2_post.hook_normalized:0.3143
gemma2,1200,-1,Component Similarities,All,,,blocks.20.ln2_post.hook_normalized:-0.0649; blocks.1.ln2_post.hook_normalized:-0.0630; blocks.3.ln1_post.hook_normalized:0.0630; blocks.16.ln1_post.hook_normalized:0.0564; blocks.0.hook_resid_post:0.0544; blocks.13.ln2_post.hook_normalized:-0.0457; blocks.19.ln1_post.hook_normalized:-0.0420; blocks.4.ln1_post.hook_normalized:0.0374; blocks.7.ln1_post.hook_normalized:0.0374; blocks.11.ln1_post.hook_normalized:0.0371
gemma2,1200,-2,Component Similarities,All,,,blocks.20.hook_resid_post:0.0938; blocks.3.ln2_post.hook_normalized:-0.0659; blocks.11.ln2_post.hook_normalized:0.0537; blocks.1.ln2_post.hook_normalized:0.0461; blocks.4.ln1_post.hook_normalized:0.0430; blocks.6.ln2_post.hook_normalized:0.0427; blocks.15.ln1_post.hook_normalized:0.0427; blocks.4.ln2_post.hook_normalized:0.0398; blocks.6.ln1_post.hook_normalized:0.0374; blocks.19.ln1_post.hook_normalized:-0.0320
gemma2,1200,-3,Component Similarities,All,,,blocks.20.hook_resid_post:0.1250; blocks.20.ln1_post.hook_normalized:0.0747; blocks.0.ln1_post.hook_normalized:0.0688; blocks.11.ln2_post.hook_normalized:0.0659; blocks.0.hook_resid_post:-0.0596; blocks.19.ln2_post.hook_normalized:0.0542; blocks.4.ln1_post.hook_normalized:0.0486; blocks.6.ln1_post.hook_normalized:0.0391; blocks.17.ln1_post.hook_normalized:0.0381; blocks.20.ln2_post.hook_normalized:0.0356
gemma2,137,-1,lars,negative,0.6166403112925061,,blocks.0.ln1_post.hook_normalized:6.0795; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.3302
gemma2,137,-1,lars,positive,0.5379723242137036,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.0486; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-2,lars,negative,0.5913113963038271,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.5520; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-2,lars,positive,0.6103233341109313,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.2814; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,137,-3,lars,negative,0.6464120278329732,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.8658; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
